sampleid,newsampleid,fish-sample-id,SampleType,Region,RegionName,SiteCode,RegionSiteCode,DateCollectedWater,LocationName,Replicate,TotalWaterVolumeFiltered,SampleCode,ExtractedBy,DNAnguL,DilutedDNAForPCRnguL,PrimerConcentrationPCR,Notes
1-W,Sample1-W,F19SAMPLE1,water,BB,Bodega,E,BBE,7_31_19,Millerton,1,400,BB_E_1,DSB,34,3.4,0.3,
10-W,Sample10-W,F19SAMPLE10,water,WA,Washington,A,WAA,7_14_19,FourthofJuly,3,500,WA_A_3,DSB,17.1,1.71,0.3,
100-W,Sample100-W,F19SAMPLE100,water,AK,Alaska,A,AKA,7_14_19,NorthFishEgg,2,300,AK_A_2,DSB,26.7,2.67,0.13,
11-W,Sample11-W,F19SAMPLE11,water,BB,Bodega,D,BBD,7_17_19,CampbellCove,1,500,BB_D_1,DSB,39.3,3.93,0.3,
13-W,Sample13-W,F19SAMPLE13,water,BC,British_Columbia,A,BCA,7_30_19,Pruth Bay,2,500,BC_A_2,DSB,42.3,4.23,0.3,
14-W,Sample14-W,F19SAMPLE14,water,SD,San_Diego,E,SDE,7_25_19,CrownPoint,1,500,SD_E_1,DSB,38.6,3.86,0.3,
15-W,Sample15-W,F19SAMPLE15,water,WA,Washington,A,WAA,7_14_19,FourthofJuly,2,500,WA_A_2,DSB,41.3,4.13,0.3,
16-W,Sample16-W,F19SAMPLE16,water,AK,Alaska,A,AKA,7_14_19,NorthFishEgg,1,500,AK_A_1,DSB,30.6,3.06,0.3,
17-W,Sample17-W,F19SAMPLE17,water,WA,Washington,B,WAB,7_15_19,FalseBay,2,500,WA_B_2,DSB,35.8,3.58,0.3,
18-W,Sample18-W,F19SAMPLE18,water,BB,Bodega,F,BBF,8_2_19,BlakesLanding,2,400,BB_F_2,DSB,41.4,4.14,0.3,
19-W,Sample19-W,F19SAMPLE19,water,BC,British_Columbia,E,BCE,8_3_19,Superstition,1,500,BC_E_1,DSB,43.9,4.39,0.3,
2-W,Sample2-W,F19SAMPLE2,water,BB,Bodega,B,BBB,7_3_19,MasonsMarina,3,500,BB_B_3,DSB,25.3,2.53,0.3,
20-W,Sample20-W,F19SAMPLE20,water,SD,San_Diego,E,SDE,7_25_19,CrownPoint,3,500,SD_E_3,DSB,49.7,4.97,0.3,filter sitting partially out of solution
21-W,Sample21-W,F19SAMPLE21,water,OR,Oregon,C,ORC,7_4_19,SallyBendSouth,1,340,OR_C_1,DSB,37.7,3.77,0.3,
22-W,Sample22-W,F19SAMPLE22,water,WA,Washington,D,WAD,7_29_19,NorthCove,2,400,WA_D_2,DSB,35.5,3.55,0.3,
23-W,Sample23-W,F19SAMPLE23,water,BC,British_Columbia,C,BCC,8_1_19,Triquet,1,500,BC_C_1,DSB,27.4,2.74,0.3,
24-W,Sample24-W,F19SAMPLE24,water,WA,Washington,B,WAB,7_15_19,FalseBay,1,500,WA_B_1,DSB,28.4,2.84,0.3,
25-W,Sample25-W,F19SAMPLE25,water,AK,Alaska,D,AKD,7_17_19,Natzuhini,2,500,AK_D_2,DSB,47.9,4.79,0.3,volumes not written on tube
26-W,Sample26-W,F19SAMPLE26,water,OR,Oregon,E,ORE,7_6_19,SallyBendNorth,1,475,OR_E_1,DSB,55,5.5,0.3,
27-W,Sample27-W,F19SAMPLE27,water,BB,Bodega,E,BBE,7_31_19,Millerton,3,400,BB_E_3,DSB,47.3,4.73,0.3,
28-W,Sample28-W,F19SAMPLE28,water,AK,Alaska,C,AKC,7_16_19,Nossuk,3,400,AK_C_3,DSB,46,4.6,0.3,
29-W,Sample29-W,F19SAMPLE29,water,BB,Bodega,F,BBF,8_2_19,BlakesLanding,1,500,BB_F_1,DSB,60,6,0.3,
3-W,Sample3-W,F19SAMPLE3,water,AK,Alaska,E,AKE,7_18_19,Shinaku,2,400,AK_E_2,DSB,54,5.4,0.3,
30-W,Sample30-W,F19SAMPLE30,water,SD,San_Diego,A,SDA,7_23_19,ChulaVista,1,500,SD_A_1,DSB,48.2,4.82,0.3,
31-W,Sample31-W,F19SAMPLE31,water,AK,Alaska,A,AKA,7_14_19,NorthFishEgg,3,500,AK_A_3,DSB,40.6,4.06,0.3,
32-W,Sample32-W,F19SAMPLE32,water,BB,Bodega,B,BBB,7_3_19,MasonsMarina,2,500,BB_B_2,DSB,35.2,3.52,0.3,
33-W,Sample33-W,F19SAMPLE33,water,BB,Bodega,C,BBC,7_5_19,NicksCove,2,500,BB_C_2,DSB,29.3,2.93,0.3,
34-W,Sample34-W,F19SAMPLE34,water,WA,Washington,C,WAC,7_18_19,BeachHaven,1,500,WA_C_1,DSB,24.7,2.47,0.3,
35-W,Sample35-W,F19SAMPLE35,water,BB,Bodega,D,BBD,7_17_19,CampbellCove,3,500,BB_D_3,DSB,94.9,9.49,0.3,
36-W,Sample36-W,F19SAMPLE36,water,BB,Bodega,G,BBG,7_5_19,DrakesEstero,2,400,BB_G_2,DSB,57,5.7,0.3,
37-W,Sample37-W,F19SAMPLE37,water,OR,Oregon,A,ORA,7_2_19,BarView,1,,OR_A_1,DSB,57,5.7,0.3,
38-W,Sample38-W,F19SAMPLE38,water,AK,Alaska,B,AKB,7_15_19,Guktu,3,400,AK_B_3,DSB,54,5.4,0.3,
39-W,Sample39-W,F19SAMPLE39,water,BC,British_Columbia,B,BCB,7_31_19,Underhill,3,500,BC_B_3,DSB,60,6,0.3,
4-W,Sample4-W,F19SAMPLE4,water,SD,San_Diego,B,SDB,7_19_19,FiestaIsland,2,500,SD_B_2,DSB,52,5.2,0.3,
40-W,Sample40-W,F19SAMPLE40,water,OR,Oregon,D,ORD,7_5_19,IdahoFlats,2,400,OR_D_2,DSB,57,5.7,0.3,
41-W,Sample41-W,F19SAMPLE41,water,OR,Oregon,C,ORC,7_4_19,SallyBendSouth,2,360,OR_C_2,DSB,41.1,4.11,0.13,
42-W,Sample42-W,F19SAMPLE42,water,WA,Washington,E,WAE,7_30_19,IndianCove,1,200,WA_E_1,DSB,43.2,4.32,0.13,
43-W,Sample43-W,F19SAMPLE43,water,SD,San_Diego,C,SDC,7_26_19,SanDieguitoLagoon,2,500,SD_C_2,DSB,55,5.5,0.13,
44-W,Sample44-W,F19SAMPLE44,water,BC,British_Columbia,C,BCC,8_1_19,Triquet,2,500,BC_C_2,DSB,46.6,4.66,0.13,
45-W,Sample45-W,F19SAMPLE45,water,AK,Alaska,D,AKD,7_17_19,Natzuhini,3,500,AK_D_3,DSB,38.1,3.81,0.13,volumes not written on tube
46-W,Sample46-W,F19SAMPLE46,water,BC,British_Columbia,D,BCD,8_2_19,Goose Southwest,1,500,BC_D_1,DSB,48.4,4.84,0.13,
47-W,Sample47-W,F19SAMPLE47,water,BB,Bodega,E,BBE,7_31_19,Millerton,2,500,BB_E_2,DSB,56,5.6,0.13,
48-W,Sample48-W,F19SAMPLE48,water,BC,British_Columbia,E,BCE,8_3_19,Superstition,3,500,BC_E_3,DSB,56,5.6,0.13,
49-W,Sample49-W,F19SAMPLE49,water,AK,Alaska,E,AKE,7_18_19,Shinaku,3,300,AK_E_3,DSB,41.9,4.19,0.13,
5-W,Sample5-W,F19SAMPLE5,water,OR,Oregon,B,ORB,7_3_19,FossilPoint,2,400,OR_B_2,DSB,51,5.1,0.3,I mistakenly put the wrong side of the filter on the upper side
50-W,Sample50-W,F19SAMPLE50,water,BC,British_Columbia,C,BCC,8_1_19,Triquet,3,500,BC_C_3,DSB,7.05,7.05,0.13,do not dilute DNA
51-W,Sample51-W,F19SAMPLE51,water,BB,Bodega,F,BBF,8_2_19,BlakesLanding,3,400,BB_F_3,DSB,43.5,4.35,0.13,
52-W,Sample52-W,F19SAMPLE52,water,BB,Bodega,H,BBH,7_17_19,SacramentoLanding,3,500,BB_H_3,DSB,39.6,3.96,0.13,
53-W,Sample53-W,F19SAMPLE53,water,OR,Oregon,A,ORA,7_2_19,BarView,2,,OR_A_2,DSB,42.6,4.26,0.13,
54-W,Sample54-W,F19SAMPLE54,water,SD,San_Diego,C,SDC,7_26_19,SanDieguitoLagoon,3,500,SD_C_3,DSB,39.3,3.93,0.13,
55-W,Sample55-W,F19SAMPLE55,water,BC,British_Columbia,D,BCD,8_2_19,Goose Southwest,3,500,BC_D_3,DSB,39.1,3.91,0.13,
56-W,Sample56-W,F19SAMPLE56,water,WA,Washington,D,WAD,7_29_19,NorthCove,1,500,WA_D_1,DSB,22.1,2.21,0.13,
57-W,Sample57-W,F19SAMPLE57,water,BB,Bodega,H,BBH,7_17_19,SacramentoLanding,2,500,BB_H_2,DSB,37.3,3.73,0.21,
58-W,Sample58-W,F19SAMPLE58,water,BC,British_Columbia,A,BCA,7_30_19,Pruth Bay,3,500,BC_A_3,DSB,43.2,4.32,0.21,
59-W,Sample59-W,F19SAMPLE59,water,BC,British_Columbia,D,BCD,8_2_19,Goose Southwest,2,500,BC_D_2,DSB,34.8,3.48,0.21,
6-W,Sample6-W,F19SAMPLE6,water,AK,Alaska,C,AKC,7_16_19,Nossuk,2,500,AK_C_2,DSB,46,4.6,0.3,
60-W,Sample60-W,F19SAMPLE60,water,SD,San_Diego,D,SDD,7_17_19,ShelterIsland,1,500,SD_D_1,DSB,41.4,4.14,0.21,
61-W,Sample61-W,F19SAMPLE61,water,BB,Bodega,G,BBG,7_5_19,DrakesEstero,1,400,BB_G_1,DSB,55,5.5,0.21,
63-W,Sample63-W,F19SAMPLE63,water,WA,Washington,A,WAA,7_14_19,FourthofJuly,1,500,WA_A_1,DSB,38.1,3.81,0.21,
64-W,Sample64-W,F19SAMPLE64,water,SD,San_Diego,D,SDD,7_17_19,ShelterIsland,2,500,SD_D_2,DSB,43.3,4.33,0.21,
65-W,Sample65-W,F19SAMPLE65,water,BB,Bodega,C,BBC,7_5_19,NicksCove,3,500,BB_C_3,DSB,29.3,2.93,0.13,
66-W,Sample66-W,F19SAMPLE66,water,SD,San_Diego,B,SDB,7_19_19,FiestaIsland,3,500,SD_B_3,DSB,49.3,4.93,0.13,
67-W,Sample67-W,F19SAMPLE67,water,WA,Washington,E,WAE,7_30_19,IndianCove,2,200,WA_E_2,DSB,43.9,4.39,0.13,
68-W,Sample68-W,F19SAMPLE68,water,BC,British_Columbia,E,BCE,8_3_19,Superstition,2,500,BC_E_2,DSB,39.8,3.98,0.13,
69-W,Sample69-W,F19SAMPLE69,water,OR,Oregon,D,ORD,7_5_19,IdahoFlats,1,450,OR_D_1,DSB,44.5,4.45,0.13,
7-W,Sample7-W,F19SAMPLE7,water,AK,Alaska,B,AKB,7_15_19,Guktu,1,500,AK_B_1,DSB,54,5.4,0.3,
70-W,Sample70-W,F19SAMPLE70,water,BB,Bodega,C,BBC,7_5_19,NicksCove,1,400,BB_C_1,DSB,34.9,3.49,0.13,
71-W,Sample71-W,F19SAMPLE71,water,AK,Alaska,E,AKE,7_18_19,Shinaku,1,400,AK_E_1,DSB,39.1,3.91,0.13,
72-W,Sample72-W,F19SAMPLE72,water,OR,Oregon,C,ORC,7_4_19,SallyBendSouth,3,350,OR_C_3,DSB,35.1,3.51,0.13,
73-W,Sample73-W,F19SAMPLE73,water,BB,Bodega,H,BBH,7_17_19,SacramentoLanding,1,500,BB_H_1,DSB,58,5.8,0.13,
74-W,Sample74-W,F19SAMPLE74,water,AK,Alaska,B,AKB,7_15_19,Guktu,2,400,AK_B_2,DSB,56,5.6,0.13,
75-W,Sample75-W,F19SAMPLE75,water,SD,San_Diego,D,SDD,7_17_19,ShelterIsland,3,500,SD_D_3,DSB,56,5.6,0.13,
76-W,Sample76-W,F19SAMPLE76,water,WA,Washington,C,WAC,7_18_19,BeachHaven,2,500,WA_C_2,DSB,27.7,2.77,0.13,
77-W,Sample77-W,F19SAMPLE77,water,SD,San_Diego,E,SDE,7_25_19,CrownPoint,2,500,SD_E_2,DSB,56,5.6,0.13,
78-W,Sample78-W,F19SAMPLE78,water,OR,Oregon,D,ORD,7_5_19,IdahoFlats,3,450,OR_D_3,DSB,46.5,4.65,0.13,
79-W,Sample79-W,F19SAMPLE79,water,SD,San_Diego,A,SDA,7_23_19,ChulaVista,3,500,SD_A_3,DSB,37,3.7,0.13,
8-W,Sample8-W,F19SAMPLE8,water,BB,Bodega,A,BBA,7_2_19,WestsidePark,1,500,BB_A_1,DSB,44.3,4.43,0.3,
80-W,Sample80-W,F19SAMPLE80,water,WA,Washington,B,WAB,7_15_19,FalseBay,3,500,WA_B_3,DSB,45,4.5,0.13,
81-W,Sample81-W,F19SAMPLE81,water,BB,Bodega,D,BBD,7_17_19,CampbellCove,2,500,BB_D_2,DSB,42.8,4.28,0.13,
82-W,Sample82-W,F19SAMPLE82,water,BB,Bodega,A,BBA,7_2_19,WestsidePark,2,500,BB_A_2,DSB,36.7,3.67,0.13,
83-W,Sample83-W,F19SAMPLE83,water,BB,Bodega,B,BBB,7_3_19,MasonsMarina,1,500,BB_B_1,DSB,44.7,4.47,0.13,
84-W,Sample84-W,F19SAMPLE84,water,BB,Bodega,G,BBG,7_5_19,DrakesEstero,3,400,BB_G_3,DSB,51,5.1,0.13,
85-W,Sample85-W,F19SAMPLE85,water,WA,Washington,D,WAD,7_29_19,NorthCove,3,400,WA_D_3,DSB,24.8,2.48,0.13,
86-W,Sample86-W,F19SAMPLE86,water,SD,San_Diego,B,SDB,7_19_19,FiestaIsland,1,500,SD_B_1,DSB,51,5.1,0.13,filter sitting partially out of solution
87-W,Sample87-W,F19SAMPLE87,water,SD,San_Diego,A,SDA,7_23_19,ChulaVista,2,500,SD_A_2,DSB,3.59,3.59,0.13,filter sitting partially out of solution; do not dilute DNA
88-W,Sample88-W,F19SAMPLE88,water,BC,British_Columbia,B,BCB,7_31_19,Underhill,2,500,BC_B_2,DSB,51,5.1,0.13,
89-W,Sample89-W,F19SAMPLE89,water,WA,Washington,E,WAE,7_30_19,IndianCove,3,200,WA_E_3,DSB,49.9,4.99,0.13,
9-W,Sample9-W,F19SAMPLE9,water,OR,Oregon,A,ORA,7_2_19,BarView,3,,OR_A_3,DSB,39.3,3.93,0.3,
90-W,Sample90-W,F19SAMPLE90,water,OR,Oregon,B,ORB,7_3_19,FossilPoint,3,200,OR_B_3,DSB,37,3.7,0.13,
91-W,Sample91-W,F19SAMPLE91,water,OR,Oregon,E,ORE,7_6_19,SallyBendNorth,2,400,OR_E_2,DSB,47,4.7,0.13,
92-W,Sample92-W,F19SAMPLE92,water,OR,Oregon,B,ORB,7_3_19,FossilPoint,1,200,OR_B_1,DSB,33.3,3.33,0.13,
93-W,Sample93-W,F19SAMPLE93,water,AK,Alaska,D,AKD,7_17_19,Natzuhini,1,500,AK_D_1,DSB,29.6,2.96,0.13,volumes not written on tube
94-W,Sample94-W,F19SAMPLE94,water,WA,Washington,C,WAC,7_18_19,BeachHaven,3,500,WA_C_3,DSB,16.7,1.67,0.13,
95-W,Sample95-W,F19SAMPLE95,water,BB,Bodega,A,BBA,7_2_19,WestsidePark,3,500,BB_A_3,DSB,52,5.2,0.13,
96-W,Sample96-W,F19SAMPLE96,water,SD,San_Diego,C,SDC,7_26_19,SanDieguitoLagoon,1,500,SD_C_1,DSB,53,5.3,0.13,
97-W,Sample97-W,F19SAMPLE97,water,OR,Oregon,E,ORE,7_6_19,SallyBendNorth,3,450,OR_E_3,DSB,44.3,4.43,0.13,
98-W,Sample98-W,F19SAMPLE98,water,BC,British_Columbia,B,BCB,7_31_19,Underhill,1,500,BC_B_1,DSB,47.8,4.78,0.13,
99-W,Sample99-W,F19SAMPLE99,water,AK,Alaska,C,AKC,7_16_19,Nossuk,1,400,AK_C_1,DSB,56,5.6,0.13,
N-W1,SampleN-W1,F19SAMPLE12,neg_control,NA,NA,NA,NA,NA,NA,NA,100,Neg1_kit1,DSB,too_low,too_low,0.3,
N-W2,SampleN-W2,F19SAMPLE62,neg_control,NA,NA,NA,NA,NA,NA,NA,100,Neg2_kit2,DSB,too_low,too_low,0.21,
NA,SampleNA,NA,water,BC,British_Columbia,A,BCA,7_30_19,Pruth Bay,1,NA,BC_A_1,DSB,NA,NA,,"toss sample, filter ripped"
,,Undetermined,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
