Sample,TotalCellsInSample
10w,1.081953239
15w,3.345775457
17w,1.024643194
18w,4.219360365
19w,5.07482552
21w,2.479328081
22w,6.856002174
23w,5.040619489
27w,3.542720324
29w,4.455596469
30w,2.720173726
33w,23.99602925
34w,1.244258069
37w,11.9073991
40w,18.95204214
41w,17.98019918
5w,0.852668728
90w,2.700901401
92w,13.68032507
94w,7.300403693
96w,5.999177009
9w,8.685697623
51w,1.346504317
80w,1.387391705
87w,3.411875536
68w,7.03146851
65w,12.98154087
86w,23.30698861
44w,26.38599639
50w,38.30509095
70w,53.08549943